COLLECTION_NAME,YEAR_MONTH,SALE_COUNT,PRICE_USD,PRICE_RANGE
"Archetype by Kjetil Golid",2021-6,89,4316.986223783673,11432.34005855454
"Archetype by Kjetil Golid",2021-7,121,15663.02485594664,56479.27537553612
"Archetype by Kjetil Golid",2021-8,164,116117.27138218416,1358969.955888593
"Archetype by Kjetil Golid",2021-9,7,228299.37247191888,68758.18904194847
"Asterisms by Falko",2021-4,33,237.23952413086332,56.206556175520575
"Asterisms by Falko",2021-5,1,270.452726997526,0
"Asterisms by Falko",2021-6,62,197.56907008058505,199.13164664446154
"Asterisms by Falko",2021-7,25,832.3502793167139,2215.158209927422
"Asterisms by Falko",2021-8,40,11061.952977737657,36129.72821585533
"Asterisms by Falko",2021-9,1,31570.409063975756,0
"Aurora IV by ge1doot",2021-4,133,368.17808746075514,907.1202378334896
"Aurora IV by ge1doot",2021-5,7,663.8837069638829,1301.1287752442975
"Aurora IV by ge1doot",2021-6,5,506.82440501116037,875.7848603039348
"Aurora IV by ge1doot",2021-7,31,2089.244753896336,11005.66752038935
"Aurora IV by ge1doot",2021-8,31,14057.03466268956,26013.612480771226
"Aurora IV by ge1doot",2021-9,1,13639.49397973555,0
"Beatboxes by Zeblocks",2021-8,1373,17081.50156673192,105078.37792720561
"Beatboxes by Zeblocks",2021-9,65,17214.277705164157,22367.16286639018
"Breathe You by raregonzo",2021-6,125,170.0546976083187,217.7771293650335
"Breathe You by raregonzo",2021-7,239,253.2741298187447,2223.3458069825915
"Breathe You by raregonzo",2021-8,139,2973.33709435731,8283.757982309777
"Breathe You by raregonzo",2021-9,1,3758.7682603815024,0
"Brushpops by Matty Mariansky",2021-8,462,4212.893047574642,48357.863507127724
"Brushpops by Matty Mariansky",2021-9,17,3525.3563540045698,8128.09810038792
"Bubble Blobby by Jason Ting",2021-5,68,468.0490259233047,1588.5117878241697
"Bubble Blobby by Jason Ting",2021-6,130,528.748730977618,2089.8011026557674
"Bubble Blobby by Jason Ting",2021-7,142,2650.5631246532935,14481.033395227434
"Bubble Blobby by Jason Ting",2021-8,179,13936.558965048685,38690.87530544649
"Bubble Blobby by Jason Ting",2021-9,5,22961.092126716194,7427.646681174334
"CENTURY by Casey REAS",2021-6,1331,697.0626511237423,18276.653904540733
"CENTURY by Casey REAS",2021-7,393,3577.3793429140933,46667.316723989374
"CENTURY by Casey REAS",2021-8,340,17232.110260784706,130077.16177995548
"CENTURY by Casey REAS",2021-9,9,28480.785677217555,11226.276435300751
"Calendart by steen & n-e-o",2021-8,1009,3172.040770447037,22387.38287083907
"Calendart by steen & n-e-o",2021-9,2,13476.158509330447,17505.62883642117
"CatBlocks by Kristy Glas",2021-5,537,224.33523842886126,1861.111105722117
"CatBlocks by Kristy Glas",2021-6,76,194.74206390609984,497.50005846919595
"CatBlocks by Kristy Glas",2021-7,153,806.5513351375203,4733.911432079559
"CatBlocks by Kristy Glas",2021-8,317,8903.048343356511,47668.48144823851
"CatBlocks by Kristy Glas",2021-9,7,10507.792044896161,5368.35108602855
"Cells by Hevey",2021-7,2,345.0755374642785,0
"Cells by Hevey",2021-8,3664,1081.1010248094876,18188.037727100043
"Cells by Hevey",2021-9,32,1654.1691726244565,1282.3203780254385
"Chromie Squiggle by Snowfro",2020-12,2756,22.09012707892113,1182.4768899994476
"Chromie Squiggle by Snowfro",2021-1,3605,60.42169818963347,11078.820719997419
"Chromie Squiggle by Snowfro",2021-2,531,889.0330244868461,36386.060531239615
"Chromie Squiggle by Snowfro",2021-3,318,2136.832459776255,84228.22856007812
"Chromie Squiggle by Snowfro",2021-4,336,1562.3872773197872,23658.93131358076
"Chromie Squiggle by Snowfro",2021-5,111,1684.2377988245812,12349.900411327342
"Chromie Squiggle by Snowfro",2021-6,349,2625.2030422186144,106134.2505575763
"Chromie Squiggle by Snowfro",2021-7,571,6645.339307896185,100233.30843049544
"Chromie Squiggle by Snowfro",2021-8,847,36589.70562361507,2440415.19316323
"Chromie Squiggle by Snowfro",2021-9,40,61609.765616492354,227830.60726485666
"Color Magic Planets by Bård Ionson",2021-4,1,321.32002956010143,0
"Color Magic Planets by Bård Ionson",2021-5,69,284.5613295765825,157.5687959429479
"Color Magic Planets by Bård Ionson",2021-6,105,205.54183518014628,88.51649462175575
"Color Magic Planets by Bård Ionson",2021-7,101,299.0014166676731,1431.08854200127
"Color Magic Planets by Bård Ionson",2021-8,85,3072.150246798913,9496.843251650032
"Color Magic Planets by Bård Ionson",2021-9,6,4690.290947985608,3009.5035945149234
"Color Study by Jeff Davis",2021-2,2201,172.51835331934436,9257.925176584564
"Color Study by Jeff Davis",2021-3,201,886.7266338761109,6436.731388339132
"Color Study by Jeff Davis",2021-4,66,933.9517506162905,23505.606651451606
"Color Study by Jeff Davis",2021-5,5,607.3870644217976,986.9567532183594
"Color Study by Jeff Davis",2021-6,125,443.31325382214004,11397.3141649388
"Color Study by Jeff Davis",2021-7,193,1084.4074041214662,9233.048397293653
"Color Study by Jeff Davis",2021-8,202,4447.11434962188,24901.793617576936
"Color Study by Jeff Davis",2021-9,10,10005.228255802129,33997.517069183465
"CryptoGodKing by Steve Pikelny",2021-4,127,151.09163757582584,169.091134446795
"CryptoGodKing by Steve Pikelny",2021-5,39,212.28829157550385,429.09592352411755
"CryptoGodKing by Steve Pikelny",2021-6,12,477.53072191801056,1043.2545700443452
"CryptoGodKing by Steve Pikelny",2021-7,30,1155.5092923390132,3668.557810584517
"CryptoGodKing by Steve Pikelny",2021-8,48,10079.026768428948,28236.058184956684
"CryptoGodKing by Steve Pikelny",2021-9,2,,
"CryptoVenetian by Bright Moments",2021-7,38,2917.3636639257757,4980.888839611278
"CryptoVenetian by Bright Moments",2021-8,264,17678.562633619138,59478.27975252319
"CryptoVenetian by Bright Moments",2021-9,9,25717.788909335002,19360.509719482285
"Cryptoblots by Daïm Aggott-Hönsch",2020-12,428,29.899205777002955,173.76069694626943
"Cryptoblots by Daïm Aggott-Hönsch",2021-1,105,72.6348731099447,566.4236303013254
"Cryptoblots by Daïm Aggott-Hönsch",2021-2,382,407.8763737015863,4983.17569971892
"Cryptoblots by Daïm Aggott-Hönsch",2021-3,123,435.63693084935255,3637.7603536035317
"Cryptoblots by Daïm Aggott-Hönsch",2021-4,48,1797.9138332113064,14489.315886620127
"Cryptoblots by Daïm Aggott-Hönsch",2021-5,56,308.9163191019351,2611.8399911881756
"Cryptoblots by Daïm Aggott-Hönsch",2021-6,242,334.16468221127786,5330.201475491108
"Cryptoblots by Daïm Aggott-Hönsch",2021-7,437,847.3764977212467,52907.77702835259
