COLLECTION_NAME,ARTIST,ASPECT_RATIO,CURATION_STATUS,IS_DYNAMIC,SCRIPT_TYPE,SERIES,USE_HASH,COUNT_TOKEN,DAYS_SINCE_MINT,FEATURE_NUMBER,TRAITS_NUMBER,MINT_CURRENCY,MINT_DURATION,AUGUST_SALE_COUNT,AUGUST_SALE_PRICE
"Space Debris [warning] by WhaleStreet x pxlq","WhaleStreet x pxlq","1","factory",true,"p5js","N/A",true,95,25,1,2,ETH,84,36,5725.183526753008
"Spaghettification by CtrlShiftMake","CtrlShiftMake","1","factory",true,"p5js","N/A",true,1,70,1,2,ETH,1,,
"Spaghettification by ctrlshiftmake","ctrlshiftmake","1","factory",true,"p5js","N/A",true,1023,53,7,16,ETH,1,506,917.7115867481524
"Speckled Summits by Jake Rockland","Jake Rockland","1","factory",true,"p5js","N/A",true,72,51,6,14,ETH,5,35,28965.668966053923
"Spectron by Simon De Mai","Simon De Mai","1.33","curated",true,"js","2",true,400,200,4,10,ETH,1,153,20117.527994912587
"SpiroFlakes by Alexander Reben","Alexander Reben","1/1","factory",true,"custom","N/A",true,169,7,1,2,ETH,14,197,4011.9602983022596
"Star Flower by Ruben Alexander","Ruben Alexander","1","factory",true,"p5js","N/A",true,1219,40,3,8,ETH,102,965,957.1937801175579
"Stipple Sunsets by Jake Rockland","Jake Rockland","1","factory",true,"p5js","N/A",true,360,140,10,22,ETH,1,93,6031.116609553978
"Stroming by Bart Simons","Bart Simons","1","factory",true,"p5js","N/A",true,256,73,12,25,ETH,10,149,6814.4936131623635
"Subscapes by Matt DesLauriers","Matt DesLauriers","1","curated",true,"js","3",true,650,131,11,24,ETH,2,121,114885.00747075518
"Algobots by Stina Jones","Stina Jones","1","curated",true,"js","3",true,500,144,5,12,ETH,7,171,22416.42303573144
"Alien Clock by Shvembldr","Shvembldr","1","playground",true,"p5js","N/A",true,719,48,16,34,ETH,3,233,31557.126394004386
"Alien Insects by Shvembldr","Shvembldr","1","playground",true,"p5js","N/A",true,1022,14,16,34,ETH,7,1903,9802.300103684602
"Andradite by Eltono","Eltono","1/1","factory",true,"p5js","N/A",true,223,82,4,10,ETH,38,69,4426.8288430019065
"Antennas by gcrll","gcrll","1","factory",true,"p5js","N/A",true,261,67,6,2,ETH,41,150,4883.133827366253
